time,BTC,XRP,BNB,ADA,LINK,ZEC,TRX,LTC,PAXG,AVAX,BCH,XAUT,AAVE,UNI,DASH,DOT,XLM,HBAR,NEAR,XMR,SNX,CRV,FET,FIL,BTCB,MLN,ZEN,ATOM,INJ,ALGO,ETC,OKB,RUNE,XDC,STORJ,COMP,BAT,VET,MANA,AR,SUSHI,CRO,AXS,TRB,OM,DEGO,CHZ,RSR,NEO,ZRX,VRA,THETA,KNC,QNT,UMA,XTZ,CELO,QTUM,CLO,CHR,EGLD,BSV,ACH,XYO,STEEM,LPT,IOTX,XVG,BEAM,KDA,YFI,CTC,KSM,ARPA,NMR,WAVES,PRO,ARK,ETH,SOL,DOGE
2020-11-05,15599.92,0.2458,27.72,0.09772,11.01,56.77,0.025,59.0,1951.55,3.351,249.75,1953.11,31.11,2.195,67.78,4.23,0.08043,0.0298,0.6929,116.58,3.162,0.363,0.04007,29.39,15567.16,20.14,5.248,4.508,0.7043,0.2484,5.09,4.488,0.422,0.005974,0.2789,90.95,0.1907,0.0097,0.07361,1.911,0.518,0.07952,0.1342,20.9,0.06545,1.18,0.009828,0.0118,14.43,0.3485,0.000468,0.6299,0.7594,13.1,6.779,1.885,1.581,1.935,0.00078,0.02231,7.394,160.52,0.006708,0.0003335,0.1415,1.716,0.007758,0.003917,0.2232,0.1738,8501.69,0.5479,30.5,0.01461,23.47,3.43,0.08986,0.3019,414.07,1.41,0.002616999903693795
2020-11-06,15590.62,0.2589,29.05,0.1093,12.18,61.61,0.02615,63.36,1956.62,3.596,258.18,1951.7,38.57,2.569,70.14,4.584,0.08398,0.03142,0.7182,116.7,3.542,0.437,0.044,31.77,16338.97,21.61,5.602,4.884,0.749,0.2766,5.353,4.649,0.518,0.005827,0.3689,95.81,0.2049,0.0113,0.08322,2.409,0.6176,0.0793,0.1453,25.44,0.07347,1.31,0.009699,0.01474,15.73,0.3771,0.0004677,0.6763,0.8133,14.05,7.445,2.093,1.698,2.078,0.000871,0.02541,8.388,168.69,0.007795,0.0002738,0.1514,1.603,0.00815,0.0042,0.2401,0.1939,11834.76,0.5443,32.55,0.01676,24.16,3.566,0.08778,0.324,454.72,1.91,0.0027600000612437725
2020-11-07,14838.16,0.2494,27.78,0.1013,11.76,57.42,0.02495,58.98,1966.06,3.411,254.03,1955.99,44.65,2.477,66.67,4.239,0.07966,0.03001,0.6977,108.65,3.817,0.426,0.04062,30.05,15550.39,20.77,5.909,4.625,0.7848,0.2585,5.082,4.676,0.4855,0.005836,0.3303,92.54,0.1925,0.0104,0.07517,2.22,0.6035,0.07363,0.1408,22.85,0.0767,1.137,0.01009,0.01281,14.85,0.3496,0.0004451,0.6407,0.7796,13.17,6.89,2.022,1.633,1.951,0.0008892,0.02315,7.864,162.18,0.007271,0.0002615,0.1433,1.552,0.00747,0.0041,0.2221,0.166,14299.07,0.5593,31.22,0.01656,22.89,3.438,0.07924,0.303,435.71,2.03,0.0026710000820457935
2020-11-08,15488.25,0.2538,28.42,0.1068,12.72,60.62,0.02536,61.0,1964.57,3.466,270.89,1955.2,53.95,2.866,68.12,4.375,0.08155,0.0304,0.8144,117.09,4.407,0.475,0.04201,30.73,16231.69,20.55,6.214,4.816,0.8348,0.2663,5.175,4.691,0.5735,0.005912,0.3498,97.26,0.1989,0.0111,0.08701,2.269,0.6416,0.07475,0.1986,23.6,0.08003,1.154,0.01053,0.01442,15.46,0.3665,0.0004646,0.6648,0.8211,13.26,7.2,2.091,1.677,2.03,0.0009347,0.02509,8.333,166.96,0.007279,0.0002728,0.1463,1.679,0.007881,0.004206,0.2419,0.1837,15136.24,0.5842,32.99,0.01821,23.3,3.518,0.08131,0.3361,453.55,2.16,0.002710999920964241
2020-11-09,15335.03,0.2506,28.11,0.1054,12.52,58.44,0.02485,59.24,1897.32,3.41,264.38,1856.37,55.07,2.678,68.1,4.34,0.07968,0.03127,0.9285,114.66,4.24,0.451,0.04264,31.21,16071.11,21.09,5.987,5.14,0.9775,0.2604,5.031,4.622,0.5875,0.005853,0.3448,94.63,0.1933,0.011,0.09755,2.181,0.602,0.07038,0.2788,22.02,0.07689,1.144,0.01047,0.01436,15.4,0.354,0.0004601,0.6418,0.8099,13.36,6.956,2.113,1.661,1.989,0.001252,0.02408,8.128,160.25,0.007821,0.0002667,0.1465,1.618,0.00764,0.004299,0.2377,0.1989,14978.46,0.5913,33.26,0.01765,23.73,3.79,0.08864,0.3582,444.16,2.03,0.0026700000744313
2020-11-10,15313.73,0.2542,28.22,0.1059,13.02,59.11,0.0249,57.96,1876.61,3.576,257.42,1874.84,67.12,3.074,68.93,4.42,0.07968,0.03155,0.9455,114.72,4.681,0.566,0.04613,30.43,16676.65,21.56,6.784,5.091,1.011,0.2898,5.14,4.657,0.679,0.005559,0.3702,102.46,0.2022,0.0116,0.08733,2.368,0.6734,0.07057,0.2694,24.88,0.07935,1.198,0.01058,0.01722,15.6,0.3873,0.0004594,0.642,0.8783,14.12,7.606,2.154,1.916,2.005,0.001282,0.02787,8.591,157.43,0.00781,0.0003156,0.1517,1.62,0.008449,0.0046,0.2485,0.1711,18278.8,0.5447,34.64,0.01991,24.52,3.827,0.08928,0.3639,449.68,2.25,0.002753000007942319
2020-11-11,15707.08,0.2562,28.02,0.1061,12.78,58.9,0.02507,59.33,1874.68,3.489,257.28,1886.3,54.61,2.935,69.33,4.454,0.08048,0.03326,0.8615,112.24,3.997,0.547,0.04496,30.11,17105.01,22.6,6.313,5.042,0.9123,0.2787,5.098,4.764,0.6245,0.005595,0.364,103.1,0.1995,0.0114,0.084,2.303,0.6835,0.07142,0.3528,23.73,0.08536,1.193,0.01068,0.01693,15.42,0.3652,0.0004712,0.6133,0.8927,14.51,8.506,2.125,1.827,2.061,0.001262,0.02654,7.806,159.27,0.009581,0.0002783,0.1512,1.621,0.008299,0.004425,0.2502,0.1754,16678.14,0.5218,35.64,0.01795,24.67,3.748,0.0889,0.3531,462.96,2.0,0.002768999896943569
2020-11-12,16306.53,0.255,27.75,0.1048,12.42,62.93,0.02494,60.75,1890.22,3.432,259.93,1889.8,51.87,2.961,78.05,4.409,0.08066,0.031,0.7886,110.9,3.775,0.557,0.04214,29.56,17757.81,21.76,5.958,5.037,0.9239,0.2666,5.066,4.853,0.568,0.005576,0.3457,104.39,0.1954,0.0107,0.08314,2.169,0.6933,0.07172,0.3131,22.63,0.08099,1.17,0.0106,0.01597,15.47,0.3607,0.0004892,0.603,0.862,14.93,7.72,2.075,1.776,2.033,0.001154,0.0256,7.501,158.63,0.008806,0.0002777,0.1484,1.622,0.008108,0.004395,0.2436,0.1751,15463.89,0.5303,38.22,0.01694,23.67,3.89,0.08887,0.3359,461.01,1.9,0.002778999973088503
2020-11-13,16332.85,0.266,28.22,0.1066,12.89,65.85,0.02543,65.94,1909.31,3.693,259.04,1892.3,63.57,3.862,77.63,4.545,0.08254,0.0323,0.8994,113.2,4.207,0.687,0.04609,29.2,17786.47,21.9,6.251,5.22,1.069,0.2804,5.157,4.908,0.707,0.005727,0.3555,116.71,0.2023,0.0118,0.08321,2.27,0.9622,0.0708,0.3933,24.43,0.08298,1.312,0.0111,0.01745,16.02,0.387,0.00049,0.6309,0.9244,15.42,8.176,2.154,1.792,2.097,0.001134,0.0263,7.791,161.45,0.009146,0.0003338,0.1512,1.495,0.008088,0.00446,0.268,0.1695,17915.18,0.5124,38.74,0.01748,24.88,4.097,0.08836,0.3435,474.63,2.02,0.0028210000600665808
2020-11-14,16075.95,0.2685,27.92,0.1044,12.56,63.92,0.02523,63.87,1893.75,3.498,255.29,1899.82,66.76,3.811,77.28,4.47,0.08111,0.032,0.8695,116.26,4.316,0.707,0.04463,29.29,17506.71,22.43,6.181,5.053,1.286,0.2659,5.09,4.772,0.838,0.006044,0.3604,121.57,0.1967,0.0113,0.07955,2.337,1.051,0.06806,0.5672,23.52,0.08068,1.228,0.01077,0.01614,15.69,0.3742,0.0004823,0.6122,0.8951,16.03,8.185,2.102,1.78,2.041,0.0011,0.02749,7.475,157.69,0.009003,0.0003688,0.1489,1.483,0.007847,0.0042,0.2636,0.1661,17193.94,0.5183,37.14,0.01704,24.25,4.3,0.08874,0.3673,460.15,1.92,0.0027729999274015427
